player,pokemon,turns_active,times_brought_in,kos,pct_dmg_dealt,pct_dmg_taken,pct_dmg_healed,hits_taken,tera,tera_type,team_tera,team_tera_first,lead,faint,team_win
Redemption,Dragonite,0,0,0,0,0,0,0,0,,0,0,0,0,1
Redemption,Enamorus,8,7,3,416,100,0,3,0,,0,0,1,1,1
Redemption,Great Tusk,9,4,0,91,100,0,6,0,,0,0,0,1,1
Redemption,Kingambit,4,5,0,41,46,6,2,0,,0,0,0,0,1
Redemption,Slowking-Galar,0,5,0,0,215,115,5,0,,0,0,0,1,1
Redemption,Zamazenta,5,1,3,231,92,12,1,0,,0,0,0,0,1
Ox the Fox,Amoonguss,3,6,0,24,267,167,6,0,,1,1,0,1,0
Ox the Fox,Dragapult,6,8,1,259,100,0,1,0,,1,1,1,1,0
Ox the Fox,Enamorus,0,1,0,0,100,0,1,0,,1,1,0,1,0
Ox the Fox,Great Tusk,11,6,1,101,184,84,10,0,,1,1,0,1,0
Ox the Fox,Kingambit,4,2,1,56,100,0,1,1,Dark,1,1,0,1,0
Ox the Fox,Ting-Lu,1,2,0,0,118,18,2,0,,1,1,0,1,0
Fakee,Amoonguss,2,5,0,0,11,11,1,0,,1,0,0,0,1
Fakee,Cinderace,3,1,2,95,53,0,1,0,,1,0,0,0,1
Fakee,Enamorus-Therian,6,1,1,186,154,54,3,0,,1,0,0,1,1
Fakee,Garganacl,19,6,1,131,449,349,14,1,Fairy,1,0,0,1,1
Fakee,Hydreigon,14,3,2,395,155,55,4,0,,1,0,0,1,1
Fakee,Thundurus-Therian,3,3,0,75,44,0,1,0,,1,0,1,0,1
so noisy,Baxcalibur,4,3,1,34,100,0,3,1,Fairy,1,1,0,1,0
so noisy,Dondozo,14,6,0,52,361,261,8,0,,1,1,0,1,0
so noisy,Great Tusk,5,2,0,45,125,25,2,0,,1,1,0,1,0
so noisy,Heatran,4,2,1,66,131,31,2,0,,1,1,0,1,0
so noisy,Slowking-Galar,17,11,1,372,384,284,12,0,,1,1,1,1,0
so noisy,Zapdos,6,4,0,79,147,47,3,0,,1,1,0,1,0
S.Berlusconi VGC,Enamorus,3,2,2,163,100,0,4,0,,1,0,0,1,1
S.Berlusconi VGC,Gholdengo,1,2,1,100,12,0,1,0,,1,0,0,0,1
S.Berlusconi VGC,Kingambit,2,2,1,137,0,0,1,1,Ghost,1,0,0,0,1
S.Berlusconi VGC,Ting-Lu,3,1,1,100,124,24,4,0,,1,0,0,1,1
S.Berlusconi VGC,Volcanion,1,1,1,100,0,0,0,0,,1,0,0,0,1
S.Berlusconi VGC,Zapdos,1,2,0,0,100,0,5,0,,1,0,1,1,1
Floss,Baxcalibur,1,1,0,86,100,0,1,0,,1,1,1,1,0
Floss,Dragonite,3,2,2,60,100,0,1,1,Normal,1,1,0,1,0
Floss,Gholdengo,4,1,0,103,100,0,3,0,,1,1,0,1,0
Floss,Great Tusk,3,1,0,23,100,0,2,0,,1,1,0,1,0
Floss,Iron Valiant,2,1,0,0,100,0,1,0,,1,1,0,1,0
Floss,Samurott-Hisui,2,1,1,40,100,0,2,0,,1,1,0,1,0
Luirromen,Cinderace,1,2,0,0,100,0,2,1,Ghost,1,1,0,1,0
Luirromen,Great Tusk,5,3,2,145,100,0,4,0,,1,1,0,1,0
Luirromen,Kingambit,4,2,2,103,106,6,2,0,,1,1,0,1,0
Luirromen,Roaring Moon,1,1,0,69,100,0,1,0,,1,1,0,1,0
Luirromen,Slowking,4,5,1,123,234,134,6,0,,1,1,0,1,0
Luirromen,Zapdos,1,4,0,91,100,0,3,0,,1,1,1,1,0
avarice,Baxcalibur,2,1,1,106,62,0,2,1,Fairy,1,0,0,0,1
avarice,Great Tusk,9,1,3,220,100,0,3,0,,1,0,0,1,1
avarice,Iron Valiant,4,1,1,68,100,0,2,0,,1,0,0,1,1
avarice,Kingambit,2,1,1,100,106,6,2,0,,1,0,0,1,1
avarice,Samurott-Hisui,5,1,0,159,100,0,2,0,,1,0,0,1,1
avarice,Sneasler,2,1,0,87,100,0,2,0,,1,0,1,1,1
